Rk,Player,Squad,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
360,Vitaly Lisakovich,Loko Moscow,1,1,1,100,1.3,1.3,1,1,7.2,0,0,0,0.1,0.1,0.07,0.9,0.9
361,Marcos Llorente,Atlético Madrid,1,10,3,30,1.9,0.57,0.1,0.33,19.2,0,0,0,0.9,0.9,0.09,0.1,0.1
362,Renan Lodi,Atlético Madrid,0,2,1,50,0.55,0.28,0,0,19.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1
363,Dejan Lovren,Zenit ,0,4,1,25,0.94,0.23,0,0,24.2,1,0,0,0.1,0.1,0.03,-0.1,-0.1
364,Gerg? Lovrencsics,Ferencváros ,0,6,0,0,1.46,0,0,,26.4,0,0,0,0.1,0.1,0.02,-0.1,-0.1
365,José Luis Palomino,Atalanta ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
366,Zé Luís,Loko Moscow,0,4,2,50,0.95,0.47,0,0,17.8,0,0,0,0.3,0.3,0.08,-0.3,-0.3
367,Romelu Lukaku,Inter ,4,15,8,53.3,3.03,1.62,0.27,0.5,11.8,2,0,0,3.1,3.1,0.21,0.9,0.9
368,Vitali Lystsov,Loko Moscow,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
369,Yann M'Vila,Olympiacos ,0,2,0,0,0.34,0,0,,19.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1
370,Awer Mabil,Midtjylland ,1,7,4,57.1,1.4,0.8,0,0,19.2,1,1,1,1.2,0.4,0.06,-0.2,-0.4
371,Nicolas Madsen,Midtjylland ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
372,Stanislav Magkeev,Loko Moscow,0,1,0,0,0.46,0,0,,22.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1
373,Harry Maguire,Manchester Utd,0,3,0,0,0.6,0,0,,9,0,0,0,0.2,0.2,0.08,-0.2,-0.2
374,Riyad Mahrez,Manchester City,0,7,2,28.6,2.5,0.71,0,0,13.9,0,0,0,1.5,1.5,0.22,-1.5,-1.5
375,Róbert Mak,Ferencváros ,0,4,1,25,4.14,1.03,0,0,18.8,0,0,0,0.2,0.2,0.06,-0.2,-0.2
376,Malcom,Zenit ,0,7,2,28.6,2.6,0.74,0,0,22.8,0,0,0,0.3,0.3,0.05,-0.3,-0.3
377,Ruslan Malinovskyi,Atalanta ,0,3,2,66.7,6.59,4.39,0,0,23.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1
378,Wilson Manafá,Porto ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
379,Steve Mandanda,Marseille ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
380,Sadio Mané,Liverpool ,1,9,5,55.6,2.23,1.24,0.11,0.2,16.1,0,0,0,0.7,0.7,0.08,0.3,0.3
381,Faitout Maouassa,Rennes ,0,1,0,0,1.08,0,0,,28.2,0,0,0,0,0,0.01,0,0
382,Marcelo,Real Madrid,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
383,Agustín Marchesín,Porto ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
384,Moussa Marega,Porto ,1,8,5,62.5,1.73,1.08,0.13,0.2,17.7,0,0,0,1.6,1.6,0.2,-0.6,-0.6
385,José María Giménez,Atlético Madrid,1,4,1,25,1.46,0.36,0.25,1,12.6,0,0,0,0.1,0.1,0.03,0.9,0.9
386,Mariano,Real Madrid,0,2,2,100,2.54,2.54,0,0,15.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1
387,Guilherme Marinato,Loko Moscow,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
388,João Mário Lopes,Porto ,0,1,0,0,1.08,0,0,,19.9,0,0,0,0,0,0.03,0,0
389,Yevgeni Markov,Krasnodar ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
390,Marlos,Shakhtar ,0,3,1,33.3,0.63,0.21,0,0,16.9,0,0,0,0.6,0.6,0.19,-0.6,-0.6
391,Marquinhos,Paris S-G,1,2,1,50,0.42,0.21,0.5,1,3.5,0,0,0,1.2,1.2,0.59,-0.2,-0.2
392,Anthony Martial,Manchester Utd,2,7,2,28.6,1.48,0.42,0.14,0.5,13.5,0,1,1,2,1.2,0.18,0,-0.2
393,Jonas Martin,Rennes ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
394,Javi Martínez,Bayern Munich,0,1,0,0,0.63,0,0,,6,0,0,0,0.3,0.3,0.27,-0.3,-0.3
395,Lautaro Martínez,Inter ,1,19,5,26.3,4.22,1.11,0.05,0.2,11.9,0,0,0,2.4,2.4,0.13,-1.4,-1.4
396,Lisandro Martínez,Ajax ,0,2,1,50,0.6,0.3,0,0,19.5,0,0,0,0.2,0.2,0.08,-0.2,-0.2
397,Toni Martínez,Porto ,0,3,1,33.3,3.42,1.14,0,0,18.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1
398,Alyaksandr Martynovich,Krasnodar ,0,5,0,0,1,0,0,,16.5,0,0,0,0.3,0.3,0.05,-0.3,-0.3
399,Adam Maruši?,Lazio ,0,2,1,50,0.33,0.17,0,0,16.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1
400,Giorgos Masouras,Olympiacos ,0,2,0,0,0.63,0,0,,19.1,0,0,0,0.3,0.3,0.15,-0.3,-0.3
401,Clinton Mata,Club Brugge,0,2,0,0,0.34,0,0,,6,0,0,0,0.3,0.3,0.16,-0.3,-0.3
402,Juan Mata,Manchester Utd,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
403,Nemanja Mati?,Manchester Utd,0,1,0,0,0.41,0,0,,10,0,0,0,0,0,0.04,0,0
404,Joël Matip,Liverpool ,0,1,0,0,0.52,0,0,,10,0,0,0,0,0,0.04,0,0
405,Mykola Matviyenko,Shakhtar ,0,1,1,100,0.3,0.3,0,0,8,0,0,0,0.2,0.2,0.15,-0.2,-0.2
406,Eric Maxim Choupo-Moting,Bayern Munich,1,5,3,60,2.39,1.44,0.2,0.33,16.9,0,0,0,0.3,0.3,0.06,0.7,0.7
407,Maycon,Shakhtar ,0,2,0,0,0.49,0,0,,20.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1
408,Noussair Mazraoui,Ajax ,1,9,4,44.4,1.7,0.75,0.11,0.25,22,0,0,0,0.5,0.5,0.05,0.5,0.5
409,Kylian Mbappé,Paris S-G,2,17,4,23.5,3.41,0.8,0.06,0.25,15.4,0,1,1,3.3,2.6,0.15,-1.3,-1.6
410,Chancel Mbemba,Porto ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
411,Weston McKennie,Juventus ,1,4,3,75,1.22,0.92,0.25,0.33,13.1,0,0,0,0.6,0.6,0.15,0.4,0.4
412,Scott McTominay,Manchester Utd,0,6,2,33.3,1.57,0.52,0,0,13.7,0,0,0,0.3,0.3,0.04,-0.3,-0.3
413,Brandon Mechele,Club Brugge,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
414,Arthur Melo,Juventus ,0,2,0,0,0.78,0,0,,22.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1
415,Benjamin Mendy,Manchester City,0,1,0,0,1.17,0,0,,27.5,0,0,0,0,0,0.02,0,0
416,Edouard Mendy,Chelsea ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
417,Ferland Mendy,Real Madrid,0,4,1,25,0.67,0.17,0,0,15,0,0,0,0.2,0.2,0.04,-0.2,-0.2
418,Lionel Messi,Barcelona ,3,25,13,52,6.25,3.25,0,0,21.5,6,3,3,4.1,1.8,0.07,-1.1,-1.8
419,Thomas Meunier,Dortmund ,0,2,0,0,0.54,0,0,,15.6,0,0,0,0.5,0.5,0.26,-0.5,-0.5
420,Simon Mignolet,Club Brugge,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
421,Sergej Milinkovi?-Savi?,Lazio ,0,6,3,50,1.3,0.65,0,0,20.2,0,0,0,0.7,0.7,0.12,-0.7,-0.7
422,Éder Militão,Real Madrid,0,1,0,0,1,0,0,,28.2,0,0,0,0,0,0.02,0,0
423,James Milner,Liverpool ,0,4,0,0,1.22,0,0,,20.4,0,0,0,0.2,0.2,0.05,-0.2,-0.2
424,Takumi Minamino,Liverpool ,0,3,2,66.7,1.45,0.97,0,0,16.5,0,0,0,0.4,0.4,0.12,-0.4,-0.4
425,Óscar Mingueza,Barcelona ,0,1,0,0,0.48,0,0,,5.8,0,0,0,0,0,0.03,0,0
426,Aleksei Miranchuk,Atalanta ,1,1,1,100,5.29,5.29,1,1,17.7,0,0,0,0.1,0.1,0.07,0.9,0.9
427,Anton Miranchuk,Loko Moscow,3,5,2,40,0.98,0.39,0.2,0.5,22.1,0,2,2,2.2,0.7,0.14,0.8,0.3
428,Luka Modri?,Real Madrid,1,6,1,16.7,1.45,0.24,0.17,1,20.6,0,0,0,0.5,0.5,0.09,0.5,0.5
429,Johan Mojica,Atalanta ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
430,Júnior Moraes,Shakhtar ,0,2,1,50,1.13,0.57,0,0,17,0,0,0,0.1,0.1,0.07,-0.1,-0.1
431,Álvaro Morata,Juventus ,6,11,7,63.6,2.2,1.4,0.55,0.86,11.2,0,0,0,2.2,2.2,0.2,3.8,3.8
432,Mateu Morey,Dortmund ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
433,Andrei Mostovoy,Zenit ,0,4,0,0,1.83,0,0,,19.3,0,0,0,0.4,0.4,0.1,-0.4,-0.4
434,Youssoufa Moukoko,Dortmund ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
435,Mason Mount,Chelsea ,0,2,2,100,0.69,0.69,0,0,10.9,0,0,0,0.6,0.6,0.32,-0.6,-0.6
436,Maksim Mukhin,Loko Moscow,0,1,0,0,2,0,0,,28.5,0,0,0,0,0,0.01,0,0
437,Nordi Mukiele,RB Leipzig,1,4,2,50,0.91,0.46,0.25,0.5,13.5,0,0,0,0.3,0.3,0.07,0.7,0.7
438,Thomas Müller,Bayern Munich,1,5,2,40,1.18,0.47,0,0,17.6,0,1,1,1.2,0.4,0.08,-0.2,-0.4
439,Luis Muriel,Atalanta ,2,7,5,71.4,2.99,2.13,0.29,0.4,15.5,0,0,0,1.2,1.2,0.17,0.8,0.8
440,Vedat Muriqi,Lazio ,0,5,1,20,3.54,0.71,0,0,14,0,0,0,0.6,0.6,0.13,-0.6,-0.6
441,Leon Musayev,Zenit ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
442,Jamal Musiala,Bayern Munich,0,1,0,0,0.85,0,0,,18.6,0,0,0,0,0,0.04,0,0
443,Enoch Mwepu,RB Salzburg,0,14,7,50,2.43,1.21,0,0,17.4,0,0,0,1.6,1.6,0.12,-1.6,-1.6
444,Vitaliy Mykolenko,Dynamo Kyiv,0,1,0,0,0.25,0,0,,23.6,0,0,0,0,0,0.02,0,0
445,Nacho,Real Madrid,0,3,2,66.7,1.5,1,0,0,9.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1
446,Yuto Nagatomo,Marseille ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
447,Radja Nainggolan,Inter ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
448,Shoya Nakajima,Porto ,0,1,0,0,1.23,0,0,,23.6,0,0,0,0,0,0.02,0,0
449,Jesús Navas,Sevilla ,0,2,2,100,0.64,0.64,0,0,19.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1
450,Keylor Navas,Paris S-G,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
451,Loum Ndiaye,Porto ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
452,David Neres,Ajax ,1,5,2,40,1.45,0.58,0.2,0.5,15.9,0,0,0,0.5,0.5,0.1,0.5,0.5
453,Ruslan Neshcheret,Dynamo Kyiv,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
454,Neto,Barcelona ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
455,Manuel Neuer,Bayern Munich,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
456,Florian Neuhaus,M'Gladbach ,0,10,4,40,1.74,0.69,0,0,23.1,0,0,0,0.8,0.8,0.08,-0.8,-0.8
457,Neymar,Paris S-G,6,16,10,62.5,3.75,2.34,0.31,0.5,19.9,2,1,1,3,2.3,0.14,3,2.7
458,Tokmac Nguen,Ferencváros ,1,12,3,25,2.37,0.59,0.08,0.33,21.3,0,0,0,0.9,0.9,0.07,0.1,0.1
459,M'Baye Niang,Rennes ,0,6,1,16.7,5.4,0.9,0,0,16.2,0,0,0,0.5,0.5,0.08,-0.5,-0.5
460,Saúl Ñíguez,Atlético Madrid,0,4,1,25,1.25,0.31,0,0,21.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
461,Rasmus Nissen,RB Salzburg,0,4,0,0,0.8,0,0,,15.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2
462,Christopher Nkunku,RB Leipzig,1,4,3,75,0.89,0.67,0.25,0.33,18.3,0,0,0,0.2,0.2,0.05,0.8,0.8
463,Alexander Nübel,Bayern Munich,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
464,Gerzino Nyamsi,Rennes ,0,4,2,50,2,1,0,0,8.9,0,0,0,0.3,0.3,0.07,-0.3,-0.3
465,Steven Nzonzi,Rennes ,0,1,0,0,0.21,0,0,,22,0,0,0,0.1,0.1,0.08,-0.1,-0.1
466,Jan Oblak,Atlético Madrid,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
467,Lucas Ocampos,Sevilla ,0,10,3,30,2.3,0.69,0,0,17.2,0,0,0,0.7,0.7,0.07,-0.7,-0.7
468,Noah Okafor,RB Salzburg,0,2,1,50,3.1,1.55,0,0,14.3,0,0,0,0.2,0.2,0.12,-0.2,-0.2
469,David Okereke,Club Brugge,0,1,0,0,3.33,0,0,,20,0,0,0,0.1,0.1,0.06,-0.1,-0.1
470,Masaya Okugawa,RB Salzburg,1,2,2,100,4,4,0.5,0.5,14.6,0,0,0,0.5,0.5,0.26,0.5,0.5
471,Sérgio Oliveira,Porto ,3,4,3,75,0.81,0.61,0.25,0.33,26.5,0,2,2,1.8,0.3,0.06,1.2,0.7
472,Dani Olmo,RB Leipzig,1,6,2,33.3,1.28,0.43,0.17,0.5,18.6,0,0,0,0.4,0.4,0.06,0.6,0.6
473,Kristoffer Olsson,Krasnodar ,0,2,1,50,0.44,0.22,0,0,25,1,0,0,0.1,0.1,0.06,-0.1,-0.1
474,André Onana,Ajax ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
475,Jerome Onguene,RB Salzburg,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
476,Frank Onyeka,Midtjylland ,0,5,0,0,0.89,0,0,,21,0,0,0,0.6,0.6,0.12,-0.6,-0.6
477,Willi Orban,RB Leipzig,0,1,0,0,0.3,0,0,,9,0,0,0,0.1,0.1,0.05,-0.1,-0.1
478,Divock Origi,Liverpool ,0,1,0,0,0.48,0,0,,18.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1
479,Otávio,Porto ,1,2,1,50,0.44,0.22,0,0,16.9,0,1,1,0.8,0.1,0.04,0.2,-0.1
480,Berkay Özcan,Ba?ak?ehir ,0,1,0,0,0.2,0,0,,21,0,0,0,0.1,0.1,0.11,-0.1,-0.1
481,Magomed Ozdoyev,Zenit ,0,4,1,25,1.13,0.28,0,0,20.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2
482,Cole Palmer,Manchester City,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
483,Emerson Palmieri,Chelsea ,0,2,1,50,0.83,0.41,0,0,23.8,0,0,0,0,0,0.02,0,0
484,Kaio Pantaleão,Krasnodar ,0,3,0,0,0.52,0,0,,7.3,0,0,0,0.6,0.6,0.19,-0.6,-0.6
485,Leandro Paredes,Paris S-G,0,2,0,0,0.74,0,0,,20.3,0,0,0,0.1,0.1,0.06,-0.1,-0.1
486,Marco Parolo,Lazio ,1,3,1,33.3,1.28,0.43,0.33,1,15,0,0,0,0.3,0.3,0.08,0.7,0.7
487,Mario Pašali?,Atalanta ,0,4,3,75,2.06,1.54,0,0,15.5,0,0,0,0.6,0.6,0.15,-0.6,-0.6
488,Felix Passlack,Dortmund ,0,1,0,0,1.1,0,0,,25,0,0,0,0,0,0.02,0,0
489,Alfonso Pastor,Sevilla ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
490,Patric,Lazio ,0,1,1,100,0.24,0.24,0,0,32.6,0,0,0,0,0,0.02,0,0
491,Alan Patrick,Shakhtar ,0,1,0,0,0.56,0,0,,26.2,0,0,0,0,0,0.02,0,0
492,Giuliano de Paula,Ba?ak?ehir ,0,1,0,0,1.07,0,0,,24,0,0,0,0,0,0.02,0,0
493,Paulinho,Midtjylland ,0,1,1,100,0.19,0.19,0,0,19.7,0,0,0,0,0,0.03,0,0
494,Benjamin Pavard,Bayern Munich,0,2,1,50,0.61,0.3,0,0,24.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1
495,Dimitri Payet,Marseille ,2,6,3,50,1.59,0.79,0,0,33.3,1,2,3,2.4,0.2,0.03,-0.4,-0.2
496,Pedri,Barcelona ,1,4,2,50,1.07,0.54,0.25,0.5,12.8,0,0,0,0.8,0.8,0.21,0.2,0.2
497,Timothee Pembele,Paris S-G,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
498,Carlos de Pena,Dynamo Kyiv,1,6,4,66.7,1.65,1.1,0.17,0.25,21.8,0,0,0,0.8,0.8,0.13,0.2,0.2
499,Pepe,Porto ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
500,Andreas Pereira,Lazio ,0,3,1,33.3,2.62,0.87,0,0,24.5,1,0,0,0.2,0.2,0.05,-0.2,-0.2
501,Danilo Pereira,Paris S-G,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
502,Ivan Periši?,Inter ,1,6,2,33.3,2.2,0.73,0.17,0.5,13.4,0,0,0,0.5,0.5,0.09,0.5,0.5
503,Matteo Pessina,Atalanta ,0,3,0,0,0.86,0,0,,17.4,0,0,0,0.3,0.3,0.1,-0.3,-0.3
504,Sergei Petrov,Krasnodar ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
505,Luca Pfeiffer,Midtjylland ,0,2,1,50,9,4.5,0,0,12.3,0,0,0,0.3,0.3,0.13,-0.3,-0.3
506,Andrea Pinamonti,Inter ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
507,Gerard Piqué,Barcelona ,1,1,1,100,0.57,0.57,1,1,9,0,0,0,0.1,0.1,0.1,0.9,0.9
508,?ukasz Piszczek,Dortmund ,1,2,2,100,0.8,0.8,0.5,0.5,6.1,0,0,0,0.6,0.6,0.28,0.4,0.4
509,Miralem Pjani?,Barcelona ,0,8,1,12.5,1.54,0.19,0,0,25,0,0,0,0.3,0.3,0.04,-0.3,-0.3
510,Alassane Pléa,M'Gladbach ,5,15,7,46.7,3.01,1.4,0.33,0.71,15.9,1,0,0,2.5,2.5,0.17,2.5,2.5
511,Paul Pogba,Manchester Utd,0,5,0,0,2.49,0,0,,23,0,0,0,0.1,0.1,0.02,-0.1,-0.1
512,Carlos Ponck,Ba?ak?ehir ,0,1,0,0,0.49,0,0,,11,0,0,0,0,0,0.04,0,0
513,Denys Popov,Dynamo Kyiv,1,1,1,100,0.22,0.22,1,1,8,0,0,0,0.1,0.1,0.08,0.9,0.9
514,Yussuf Poulsen,RB Leipzig,1,5,2,40,1.07,0.43,0.2,0.5,13.2,0,0,0,0.4,0.4,0.08,0.6,0.6
515,Danila Prokhin,Zenit ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
516,Quincy Promes,Ajax ,0,5,2,40,1.81,0.73,0,0,20,0,0,0,0.8,0.8,0.16,-0.8,-0.8
517,Riqui Puig,Barcelona ,0,3,0,0,3.51,0,0,,18,0,0,0,0.5,0.5,0.17,-0.5,-0.5
518,Christian Pulisic,Chelsea ,1,8,2,25,4.11,1.03,0.13,0.5,12.4,0,0,0,0.8,0.8,0.1,0.2,0.2
519,Andriy Pyatov,Shakhtar ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
520,Adrien Rabiot,Juventus ,0,2,1,50,0.62,0.31,0,0,21.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1
521,Nemanja Radonji?,Marseille ,0,1,1,100,0.98,0.98,0,0,29,0,0,0,0,0,0.02,0,0
522,?tefan Radu,Lazio ,0,1,0,0,2,0,0,,9.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1
523,Rafael,Ba?ak?ehir ,0,2,1,50,0.35,0.17,0,0,23.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1
524,Rafinha,Paris S-G,0,3,2,66.7,2.21,1.48,0,0,20.1,0,0,0,0.2,0.2,0.08,-0.2,-0.2
525,Rafinha,Olympiacos ,0,1,0,0,0.17,0,0,,22.1,0,0,0,0,0,0.02,0,0
526,Slobodan Rajkovi?,Loko Moscow,0,1,0,0,0.33,0,0,,7.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1
527,Ivan Rakiti?,Sevilla ,2,9,3,33.3,1.99,0.66,0.22,0.67,20.6,1,0,0,0.5,0.5,0.06,1.5,1.5
528,Yaroslav Rakitskiy,Zenit ,0,2,0,0,0.38,0,0,,28.7,0,0,0,0,0,0.02,0,0
529,André Ramalho,RB Salzburg,0,7,2,28.6,1.17,0.33,0,0,16.2,0,0,0,0.3,0.3,0.04,-0.3,-0.3
530,Cristian Ramírez,Krasnodar ,1,7,2,28.6,1.27,0.36,0.14,0.5,24.4,0,0,0,0.2,0.2,0.03,0.8,0.8
531,Sergio Ramos,Real Madrid,1,4,2,50,1.33,0.67,0.25,0.5,8.9,0,0,0,0.2,0.2,0.06,0.8,0.8
532,Aaron Ramsey,Juventus ,0,5,1,20,1.67,0.33,0,0,19.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2
533,Lazar Ran?elovi?,Olympiacos ,0,2,1,50,0.76,0.38,0,0,15.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1
534,Marcus Rashford,Manchester Utd,6,18,11,61.1,3.91,2.39,0.28,0.45,19.9,1,1,1,3.1,2.4,0.13,2.9,2.6
535,Pepe Reina,Lazio ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
536,Reinier,Dortmund ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
537,Karim Rekik,Sevilla ,0,1,1,100,0.41,0.41,0,0,6,0,0,0,0.6,0.6,0.57,-0.6,-0.6
